Tomato_ID,Tomato_position,Blue,Green,Yellow,Orange,Red,NIR,NDVI,GNDVI,RVI,Freshness_,Category
1,1,49.58,46.34,47.89,111.31,180.62,145.87,-0.1065,0.5178,0.8076,19.14,Spoiling
1,2,32.36,32.68,41.03,135.68,157.76,77.41,-0.3417,0.4063,0.4907,13.55,Spoiling
1,3,34.21,27.73,36.39,98.35,134.78,85.18,-0.2255,0.5089,0.632,17.64,Spoiling
1,4,20.74,28.33,26.82,112.29,139.16,176,0.1169,0.7227,1.2648,29.89,Spoiling
1,5,33.68,36.07,32.04,109.98,153.98,119.85,-0.1247,0.5373,0.7783,19.1,Spoiling
1,6,33.5,37.89,31.71,121.13,156.81,158.16,0.0043,0.6134,1.0086,24.08,Spoiling
1,7,34.12,33.49,33.87,130.93,144.82,173.38,0.0898,0.6762,1.1972,27.81,Spoiling
1,8,27.1,34.68,41.71,123.57,150.21,129.58,-0.0737,0.5778,0.8627,20.68,Spoiling
1,9,2,15.14,15.83,101.28,133.14,123.85,-0.0361,0.7821,0.9302,25.8,Spoiling
1,10,16.73,21.48,21.52,113.14,153.65,92.32,-0.2493,0.6225,0.6008,18.93,Spoiling
2,1,38.58,48.5,44.03,44.34,67.49,361.45,0.6853,0.7634,5.3555,57.35,Aging
2,2,43.78,46.98,56.35,48.01,57.65,368.07,0.7292,0.7736,6.3846,59.69,Aging
2,3,44.79,48.57,47.22,58.94,73.92,359.43,0.6588,0.7619,4.8622,55.79,Aging
2,4,52.74,62.57,56.76,32.4,44.06,411.66,0.8066,0.7361,9.3421,65.93,Aging
2,5,37.48,41.95,42.59,46.33,58.75,380.8,0.7327,0.8016,6.4816,60.79,Aging
2,6,49.24,54.48,57.85,64.62,78.58,369.28,0.6491,0.7429,4.6995,55.42,Aging
2,7,57.87,53.29,51.99,65.09,84.02,292.47,0.5537,0.6917,3.4809,48.07,Aging
2,8,47.5,51.01,57.47,74.08,63.89,396.77,0.7226,0.7722,6.2106,59.96,Aging
2,9,45.42,52.72,48.01,55.99,60.91,341.73,0.6974,0.7327,5.6104,56.41,Aging
2,10,44.48,47.33,44.77,82.56,86.43,301.19,0.554,0.7284,3.4847,48.52,Aging
3,1,31.47,37.68,28.95,91.34,120.08,236.96,0.3274,0.7256,1.9733,38.53,Spoiling
3,2,37.69,43.35,54.9,93.21,113.23,221.82,0.3241,0.6731,1.9591,37.14,Spoiling
3,3,45.36,37.62,26.07,91.99,123.09,201.25,0.241,0.685,1.6349,34.17,Spoiling
3,4,36.15,44.75,56.99,104.61,130.53,213.72,0.2417,0.6537,1.6373,33.76,Spoiling
3,5,52.3,48.69,34.94,95.16,126.04,209.83,0.2495,0.6233,1.6648,33.66,Spoiling
3,6,33.2,43.18,45.95,77.66,119.51,197.49,0.246,0.6412,1.6525,33.88,Spoiling
3,7,23.22,31.86,31.38,87.88,117.91,216.32,0.2944,0.7433,1.8346,37.24,Spoiling
3,8,37.58,28.73,30.54,94.52,110.06,230.18,0.353,0.778,2.0913,39.87,Spoiling
3,9,36.43,42.05,52.2,94.03,121.31,212.46,0.2731,0.6696,1.7513,35.19,Spoiling
3,10,37.29,32.82,29.37,85.55,109,227.21,0.3516,0.7476,2.0844,39.47,Spoiling
4,1,22.26,30.28,39.19,103.03,124.47,225.5,0.2887,0.7632,1.8117,37.27,Aging
4,2,64.93,63.03,56.85,83.81,98.84,308.78,0.515,0.661,3.124,46.5,Aging
4,3,38.48,38.29,37.42,66.44,100.73,291.69,0.4866,0.7679,2.8959,46.74,Aging
4,4,24.84,25.15,25.81,92.65,92.51,321.53,0.5531,0.8549,3.4756,50.75,Aging
4,5,40.41,41.62,38.36,59.6,84.19,329.98,0.5935,0.776,3.9195,52.22,Aging
4,6,33.57,37.56,30.56,78.82,77.62,269.32,0.5525,0.7552,3.4698,47.73,Aging
4,7,44.16,48.23,49.03,82.18,110.21,257.7,0.4009,0.6847,2.3383,41.17,Aging
4,8,50.54,45.83,39.51,47.02,70.5,306.09,0.6256,0.7395,4.3419,52.31,Aging
4,9,46.54,45.71,40.53,68.3,94.21,271.07,0.4842,0.7114,2.8773,45.08,Aging
4,10,40.74,48.16,42.37,87.5,97.39,244.14,0.4297,0.6705,2.5068,41.31,Aging
5,1,43.95,45.29,40.88,48.26,48.76,413.88,0.7892,0.8027,8.4885,65.29,Fresh
5,2,51.01,61.69,43.83,34.86,32.29,440.93,0.8635,0.7545,13.6549,72.31,Fresh
5,3,61.55,64.03,75.87,35.78,51.77,496.46,0.8111,0.7715,9.5893,70.32,Fresh
5,4,60.11,67.55,62.28,55.36,53.19,488.55,0.8036,0.7571,9.1851,68.84,Fresh
5,5,65.67,62.91,62.81,16.84,40.55,499.99,0.8499,0.7765,12.3288,74.22,Fresh
5,6,45.99,58.64,59.19,39.28,34.47,482.41,0.8666,0.7832,13.9954,74.75,Fresh
5,7,41.14,50.72,39.73,52.22,62.39,403.12,0.7319,0.7765,6.4611,61.24,Fresh
5,8,57.43,55.54,42.65,20.24,19.7,507.55,0.9253,0.8027,25.7629,82.85,Fresh
5,9,41.6,44.78,47.58,69.31,81.82,375.53,0.6422,0.7869,4.59,55.82,Fresh
5,10,51.22,57.49,56.36,43.63,51.56,509.98,0.8163,0.7974,9.8901,71.38,Fresh
6,1,29.26,26.77,29.88,110.25,154.11,112.28,-0.157,0.615,0.7286,19.98,Spoiling
6,2,24.23,30.88,38.93,107.53,120.91,177.88,0.1907,0.7042,1.4712,32,Spoiling
6,3,37.3,43.02,49.73,127.64,136.65,182.47,0.1436,0.6185,1.3353,28.83,Spoiling
6,4,52.52,44.6,102.12,86.23,126.45,192.09,0.2061,0.6231,1.5191,32.03,Spoiling
6,5,36.21,28.85,30.68,93.68,96.3,132.33,0.1576,0.642,1.3741,29.28,Spoiling
6,6,45.74,34.18,37.88,160,165.67,139.06,-0.0873,0.6054,0.8394,19.92,Spoiling
6,7,37.16,38.72,41.63,121.64,143.23,162.57,0.0633,0.6153,1.135,26.02,Spoiling
6,8,30.55,29.69,35.75,109.45,120.26,153.7,0.1221,0.6762,1.2781,28.92,Spoiling
6,9,24,32.33,43.68,99.25,138.17,127.06,-0.0419,0.5943,0.9196,22.47,Spoiling
6,10,27.82,19.11,17.61,136.9,167.71,215.38,0.1244,0.837,1.2842,32.09,Spoiling
7,1,39.58,33.92,23.62,121.01,140.97,159.36,0.0612,0.649,1.1304,26.47,Spoiling
7,2,23.24,28.49,29.42,107.94,131.82,171.45,0.1307,0.715,1.3006,30.2,Spoiling
7,3,45.51,45.53,40.34,90.96,114.72,167.48,0.187,0.5725,1.4599,29.92,Spoiling
